country,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,
time,,,,,,,,,
1959-01,,,97.65257,97.91745,,,,,
1959-02,,,98.0463,98.26685,,,,,
1959-03,,,98.39896,98.57981,,,,,
1959-04,,,98.72461,98.8688,,,,,
1959-05,,,99.02673,99.13692,,,,,
1959-06,,,99.30856,99.38703,,,,,
1959-07,,,99.57337,99.62202,,,,,
1959-08,,,99.82297,99.84353,,,,,
1959-09,,,100.0572,100.0514,,,,,
1959-10,,,100.2743,100.2441,,,,,
1959-11,,,100.4638,100.4122,,,,,
1959-12,,,100.6111,100.543,,,,,
1960-01,,,100.7023,100.6239,,,,,
1960-02,,,100.7368,100.6545,,12.09787,99.31235,99.17869,12.00939
1960-03,,,100.7294,100.6479,,12.19011,99.04455,98.87025,12.10184
1960-04,,,100.6982,100.6203,,12.28016,98.8168,98.60794,12.19501
1960-05,,,100.6745,100.5992,,12.37179,98.68289,98.45372,12.2889
1960-06,,,100.6873,100.6106,,12.46861,98.68451,98.45559,12.3835
1960-07,,,100.7515,100.6676,,12.5726,98.81805,98.6094,12.47882
1960-08,,,100.8637,100.7671,,12.68347,99.0574,98.88505,12.57486
1960-09,,,101.0269,100.9119,,12.80174,99.36588,99.24034,12.67162
1960-10,,,101.2297,101.0919,,12.92611,99.70001,99.62518,12.76909
1960-11,,,101.4552,101.2921,,13.05452,100.0183,99.99178,12.86727
1960-12,,,101.6788,101.4905,,13.18383,100.2879,100.3022,12.96615
1961-01,,,101.8934,101.6809,,13.31311,100.4913,100.5365,13.06572
1961-02,,,102.0808,101.8472,11.09342,13.43994,100.623,100.6882,13.16598
1961-03,,,102.2193,101.9701,11.24887,13.56136,100.6891,100.7644,13.26693
1961-04,,,102.3109,102.0514,11.37874,13.67749,100.7124,100.7912,13.36856
1961-05,,,102.3298,102.0682,11.42055,13.78471,100.7237,100.8042,13.47086
1961-06,,,102.2594,102.0057,11.32378,13.88053,100.7566,100.8421,13.57384
1961-07,,,102.0922,101.8573,11.06414,13.96365,100.8424,100.9409,13.6775
1961-08,,,101.826,101.6211,10.64383,14.03348,101.0001,101.1226,13.78182
1961-09,,,101.4775,101.3118,10.07859,14.09198,101.2226,101.3788,13.8868
1961-10,,,101.0921,100.9698,9.431753,14.14527,101.456,101.6476,13.99246
1961-11,,,100.7057,100.6269,8.76137,14.19827,101.6318,101.8501,14.09878
1961-12,,,100.3374,100.3,8.115032,14.2537,101.6967,101.9248,14.20577
1962-01,,,99.99082,99.99249,7.503983,14.31212,101.6456,101.866,14.31344
1962-02,,,99.6487,99.68889,6.928445,14.37111,101.4984,101.6964,14.42178
1962-03,,,99.32215,99.39909,6.422282,14.43231,101.2829,101.4483,14.53081
1962-04,,,99.01626,99.12762,5.988118,14.49652,101.0259,101.1523,14.64054
1962-05,,,98.7434,98.88548,5.665051,14.56562,100.75,100.8345,14.75099
1962-06,,,98.50199,98.67125,5.468037,14.63952,100.474,100.5166,14.86216
1962-07,,,98.30253,98.49424,5.415759,14.71989,100.2139,100.2171,14.97407
1962-08,,,98.15463,98.36299,5.521543,14.80834,99.98199,99.94995,15.08675
1962-09,,,98.06737,98.28555,5.779594,14.90644,99.78321,99.721,15.2002
1962-10,,,98.04827,98.2686,6.152461,15.01555,99.61078,99.5224,15.31445
1962-11,,,98.11076,98.32405,6.61869,15.13801,99.45698,99.34526,15.42951
1962-12,,,98.24129,98.4399,7.144149,15.272,99.3218,99.18958,15.5454
1963-01,,,98.42528,98.60317,7.70941,15.4155,99.21992,99.07224,15.66214
1963-02,,,98.66495,98.81586,8.335845,15.56907,99.17223,99.01731,15.77974
1963-03,,,98.94377,99.0633,8.993578,15.73029,99.19491,99.04343,15.89822
1963-04,,,99.21706,99.30582,9.627594,15.89218,99.28463,99.14676,16.01759
1963-05,,,99.45126,99.51366,10.18626,16.04932,99.43098,99.31532,16.13787
1963-06,,,99.62312,99.66618,10.64429,16.19779,99.6235,99.53706,16.25907
1963-07,,,99.71976,99.75195,10.97432,16.3353,99.85406,99.8026,16.38121
1963-08,,,99.74403,99.77348,11.16734,16.46204,100.1169,100.1054,16.50429
1963-09,,,99.72372,99.75546,11.24308,16.58238,100.4056,100.4378,16.62832
1963-10,,,99.67972,99.71641,11.21582,16.69967,100.7066,100.7845,16.75333
1963-11,,,99.62859,99.67103,11.08875,16.81663,101.0032,101.1261,16.87932
1963-12,,,99.58313,99.63068,10.89186,16.93541,101.2778,101.4424,17.0063
1964-01,,,99.54013,99.59253,10.63866,17.0555,101.5136,101.714,17.1343
1964-02,,,99.49311,99.5508,10.32014,17.17582,101.6944,101.9221,17.26332
1964-03,,,99.43182,99.49641,9.944396,17.29458,101.8065,102.0513,17.3934
1964-04,,,99.35507,99.42831,9.560374,17.41153,101.8443,102.0948,17.52455
1964-05,,,99.27996,99.36165,9.223785,17.52967,101.8051,102.0497,17.65681
1964-06,,,99.19257,99.2841,8.944136,17.64655,101.6896,101.9167,17.79019
1964-07,,,99.08602,99.18954,8.727166,17.76091,101.5066,101.7058,17.92474
1964-08,,,98.9596,99.07735,8.568484,17.87259,101.2661,101.4289,18.06049
1964-09,,,98.81165,98.94605,8.435776,17.98124,100.9775,101.0965,18.19748
1964-10,,,98.6403,98.794,8.304261,18.08646,100.6503,100.7196,18.33577
1964-11,,,98.46323,98.63686,8.175439,18.19146,100.2941,100.3094,18.47538
1964-12,,,98.29979,98.49181,8.056808,18.29986,99.92014,99.87869,18.61638
1965-01,,,98.14153,98.35137,7.942764,18.41018,99.54516,99.44682,18.75881
1965-02,,,97.97172,98.20066,7.822047,18.51932,99.18759,99.035,18.90272
1965-03,,,97.78915,98.03866,7.704534,18.62704,98.86391,98.66221,19.04817
1965-04,,,97.61259,97.88197,7.612206,18.73693,98.58382,98.33961,19.1952
1965-05,,,97.46784,97.75351,7.555107,18.85406,98.35201,98.07263,19.34387
1965-06,,,97.37708,97.67297,7.572955,18.98291,98.16656,97.85905,19.49423
1965-07,,,97.35583,97.65411,7.690659,19.12684,98.01373,97.68303,19.64632
1965-08,,,97.41386,97.7056,7.920186,19.28813,97.87987,97.52885,19.80019
1965-09,,,97.53983,97.81739,8.251368,19.46493,97.76056,97.39144,19.95588
1965-10,,,97.71953,97.97687,8.671124,19.65475,97.66772,97.28451,20.11344
1965-11,,,97.9303,98.16391,9.135296,19.8533,97.62189,97.23174,20.27289
1965-12,,,98.15673,98.36485,9.605321,20.05762,97.64249,97.25546,20.43428
1966-01,,,98.40203,98.58254,10.09391,20.26849,97.73431,97.36121,20.59763
1966-02,,,98.66553,98.81638,10.61909,20.4859,97.89182,97.54262,20.76298
1966-03,,,98.9248,99.04647,11.15717,20.70529,98.09762,97.77965,20.93033
1966-04,,,99.16547,99.26004,11.67055,20.92364,98.31529,98.03035,21.09972
1966-05,,,99.37704,99.4478,12.11722,21.13864,98.50441,98.24816,21.27115
1966-06,,,99.5474,99.59898,12.45685,21.34758,98.63386,98.39725,21.44464
1966-07,,,99.66647,99.70465,12.65888,21.54808,98.6963,98.46917,21.62019
1966-08,,,99.73805,99.76817,12.71552,21.74072,98.69882,98.47207,21.79782
1966-09,,,99.78625,99.81094,12.66691,21.93054,98.65752,98.4245,21.97751
1966-10,,,99.82548,99.84576,12.54588,22.12062,98.59578,98.35339,22.15929
1966-11,,,99.85004,99.86755,12.37239,22.30963,98.53753,98.28631,22.34314
1966-12,,,99.86137,99.87761,12.16595,22.49782,98.50159,98.24491,22.52905
1967-01,,,99.86845,99.88389,11.93309,22.68715,98.49538,98.23775,22.71703
1967-02,,,99.85828,99.87486,11.66015,22.87459,98.52069,98.26691,22.90705
1967-03,,,99.82584,99.84608,11.36706,23.05888,98.57664,98.33135,23.0991
1967-04,,,99.77081,99.79725,11.06947,23.23977,98.65977,98.42709,23.29316
1967-05,,,99.70116,99.73544,10.78763,23.419,98.76353,98.54659,23.48919
1967-06,,,99.62721,99.66981,10.5459,23.59888,98.87524,98.67525,23.68718
1967-07,,,99.56329,99.61308,10.37066,23.78276,98.97097,98.78551,23.88708
1967-08,,,99.50755,99.56361,10.25501,23.97023,99.02655,98.84953,24.08886
1967-09,,,99.46375,99.52474,10.17602,24.16219,99.029,98.85234,24.29246
1967-10,,,99.44643,99.50937,10.13365,24.36224,98.98997,98.8074,24.49786
