country,NAFTA,NAFTA,NAFTA,NAFTA,NAFTA,NAFTA,NAFTA,NAFTA,NAFTA
subject,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPOR_GYSA,LORSGPOR_IXOBSA,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Percentage,Index,Index,Percentage,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,2010=100,,
time,,,,,,,,,
1947-03,,,,,102.0198,,11.22519,102.4587,10.95582
1947-04,,,,,101.6537,,11.21692,102.0165,10.9952
1947-05,,,,,101.3096,,11.21138,101.6008,11.03474
1947-06,,,,,101.006,,11.21109,101.234,11.07442
1947-07,,,,,100.7645,,11.21902,100.9424,11.11427
1947-08,,,,,100.606,,11.23805,100.7509,11.15429
1947-09,,,,,100.5417,,11.26986,100.6732,11.19449
1947-10,,,,,100.5601,,11.31301,100.6955,11.23488
1947-11,,,,,100.6405,,11.36483,100.7926,11.27546
1947-12,,,,,100.7612,,11.42244,100.9384,11.31626
1948-01,,,,,100.9027,,11.48326,101.1093,11.35727
1948-02,,,,,101.0476,,11.5449,101.2843,11.39851
1948-03,,,,,101.178,3.383077,11.60495,101.4419,11.44
1948-04,,,,,101.2739,3.955352,11.66059,101.5577,11.48174
1948-05,,,,,101.3143,4.437502,11.70888,101.6065,11.52375
1948-06,,,,,101.2818,4.783041,11.74732,101.5673,11.56604
1948-07,,,,,101.1705,4.95541,11.77497,101.4327,11.60865
1948-08,,,,,100.9774,4.923326,11.79133,101.1995,11.65157
1948-09,,,,,100.7004,4.668521,11.79599,100.865,11.69483
1948-10,,,,,100.341,4.207741,11.78904,100.4308,11.73846
1948-11,,,,,99.90392,3.574214,11.77104,99.90285,11.78248
1948-12,,,,,99.40299,2.813868,11.74386,99.29778,11.82691
1949-01,,,,,98.87186,1.994016,11.71224,98.65622,11.87177
1949-02,,,,,98.34982,1.185748,11.68179,98.02563,11.91708
1949-03,,,,,97.87042,0.4520338,11.6574,97.44656,11.96287
1949-04,,,,,97.44996,-0.1635637,11.64152,96.93867,12.00916
1949-05,,,,,97.09348,-0.631203,11.63497,96.50808,12.05596
1949-06,,,,,96.79646,-0.9371688,11.63723,96.1493,12.10329
1949-07,,,,,96.54162,-1.096578,11.64584,95.84147,12.15115
1949-08,,,,,96.31754,-1.120392,11.65922,95.5708,12.19957
1949-09,,,,,96.13371,-0.9933549,11.67882,95.34874,12.24853
1949-10,,,,,96.03307,-0.6612802,11.71108,95.22719,12.29804
1949-11,,,,,96.06676,-0.06172877,11.76377,95.26788,12.3481
1949-12,,,,,96.26308,0.8302953,11.84136,95.50501,12.39868
1950-01,,,,,96.61169,1.966893,11.9426,95.92612,12.44979
1950-02,,,,,97.0744,3.254496,12.06198,96.48502,12.5014
1950-03,,,,,97.60886,4.596741,12.19327,97.13062,12.55347
1950-04,,,,,98.184,5.929945,12.33185,97.82533,12.60599
1950-05,,,,,98.77592,7.212443,12.47414,98.54032,12.65892
1950-06,,,,,99.36055,8.414456,12.61643,99.24651,12.71222
1950-07,,,,,99.90438,9.511377,12.75352,99.90342,12.76585
1950-08,,,,,100.3729,10.47014,12.87996,100.4694,12.81978
1950-09,,,,,100.742,11.24239,12.9918,100.9152,12.87397
1950-10,,,,,101.014,11.76739,13.08917,101.2438,12.92837
1950-11,,,,,101.2046,11.99043,13.1743,101.4739,12.98294
1950-12,,,,,101.3358,11.89983,13.25047,101.6324,13.03764
1951-01,,,,,101.4349,11.54885,13.32184,101.7522,13.09243
1951-02,,,,,101.5267,11.02845,13.39222,101.863,13.14728
