country,IRL,IRL,IRL,IRL,IRL,IRL,IRL,IRL,IRL,IRL,IRL,IRL,IRL,IRL,IRL,IRL,IRL,IRL,IRL,IRL,IRL,IRL,IRL,IRL,IRL,IRL
subject,BCEMFT,BCOBLV,BCSPFT,BRBUFT,BRBUTE,BRCI,BREMFT,BRODFT,BRVSLV,BSCI,BSEMFT,BSFGLV,BSOBLV,BSPRFT,BSPRTE,BSSPFT,BSXRLV,BVBUTE,BVCI,BVDEFT,BVDETE,BVEMFT,BVEMTE,CSCICP02,CSESFT,CSINFT
measure,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA
unit,,,,,,,,,,,,,,,,,,,,,,,,,,
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,,,,,,,,,,,,,,,,,,
time,,,,,,,,,,,,,,,,,,,,,,,,,,
1974-01,,,,,,,,,,,,,,,,,,,,,,,,-15.0,,
1974-02,,,,,,,,,,,,,,,,,,,,,,,,-14.0,,
1974-03,,,,,,,,,,,,,,,,,,,,,,,,-14.0,,
1974-04,,,,,,,,,,,8.0,-22.0,27.0,36.0,28.0,72.0,,,,,,,,-17.0,,
1974-05,,,,,,,,,,,11.0,-19.0,21.0,37.0,19.0,75.0,,,,,,,,-17.0,,
1974-06,,,,,,,,,,,9.0,-15.0,13.0,29.0,21.0,63.0,,,,,,,,-18.0,,
1974-07,,,,,,,,,,,5.0,-3.0,-5.0,25.0,21.0,51.0,,,,,,,,-28.0,,
1974-08,,,,,,,,,,,-1.0,-3.0,-12.0,13.0,19.0,59.0,,,,,,,,-29.0,,
1974-09,,,,,,,,,,,-4.0,1.0,-25.0,0.0,11.0,50.0,,,,,,,,-30.0,,
1974-10,,,,,,,,,,,-11.0,12.0,-28.0,-1.0,4.0,52.0,,,,,,,,-39.0,,
1974-11,,,,,,,,,,,-18.0,12.0,-36.0,-5.0,3.0,52.0,,,,,,,,-40.0,,
1974-12,,,,,,,,,,,-34.0,28.0,-37.0,1.0,11.0,56.0,,,,,,,,-40.0,,
1975-01,,,,,,,,,,,-24.0,19.0,-40.0,-10.0,-9.0,62.0,,,,,,,,-39.0,,
1975-02,,,,,,,,,,,-27.0,21.0,-48.0,-16.0,-10.0,49.0,,,,,,,,-38.0,,
1975-03,,,,,,,,,,,-24.0,13.0,-42.0,-4.0,-13.0,53.0,,,,,,,,-38.0,,
1975-04,,,,,,,,,,,-36.0,28.0,-60.0,-2.0,-22.0,49.0,,,,,,,,-33.0,,
1975-05,,,,,,,,,,,-28.0,17.0,-53.0,-12.0,-7.0,49.0,,,,,,,,-32.0,,
1975-06,,,,,,,,,,,-21.0,18.0,-56.0,-3.0,-14.0,54.0,,,,,,,,-31.0,,
1975-07,,,,,,,,,,,-19.0,18.0,-51.0,12.0,-3.0,54.0,,,,,,,,-25.0,,
1975-08,,,,,,,,,,,-9.0,12.0,-46.0,6.0,-5.0,46.0,,,,,,,,-24.0,,
1975-09,,,,,,,,,,,-15.0,8.0,-42.0,7.0,3.0,53.0,,,,,,,,-23.0,,
1975-10,,,,,,,,,,,-13.0,18.0,-41.0,7.0,12.0,46.0,,,,,,,,-17.0,,
1975-11,,,,,,,,,,,-14.0,7.0,-38.0,4.0,8.0,51.0,,,,,,,,-16.0,,
1975-12,,,,,,,,,,,-19.0,9.0,-36.0,6.0,10.0,52.0,,,,,,,,-16.0,,
1976-01,,,,,,,,,,,-18.0,10.0,-25.0,4.0,26.0,50.0,,,,,,,,-23.0,,
1976-02,,,,,,,,,,,-28.0,0.0,-41.0,10.0,12.0,50.0,,,,,,,,-23.0,,
1976-03,,,,,,,,,,,-15.0,5.0,-26.0,6.0,15.0,51.0,,,,,,,,-23.0,,
1976-04,,,,,,,,,,,-12.0,9.0,-24.0,15.0,13.0,54.0,,,,,,,,-25.0,,
1976-05,,,,,,,,,,,-8.0,7.0,-20.0,14.0,14.0,54.0,,,,,,,,-25.0,,
1976-06,,,,,,,,,,,-4.0,4.0,-19.0,16.0,14.0,55.0,,,,,,,,-25.0,,
1976-07,,,,,,,,,,,-13.0,6.0,-16.0,16.0,6.0,60.0,,,,,,,,-26.0,,
1976-08,,,,,,,,,,,-11.0,10.0,-18.0,8.0,9.0,52.0,,,,,,,,-26.0,,
