country,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL
subject,BCBUTE,BCCI,BCEMFT,BCOBLV,BCSPFT,BRBUFT,BRBUTE,BRCI,BREMFT,BRODFT,BRVSLV,BSCI,BSEMFT,BSFGLV,BSOBLV,BSPRFT,BSPRTE,BSSPFT,BSXRLV,BVBUTE,BVCI,BVDEFT,BVDETE,BVEMFT,BVEMTE,CSCICP02,CSESFT,CSINFT
measure,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA
unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-06,,,,,,,,,,,,,-38.6,-3.8,,16.1,-1.6,24.1,,,,,,,,,,
1992-07,,,,,,,,,,,,,-37.2,-6.0,,10.4,2.2,33.4,,,,,,,,,,
1992-08,,,,,,,,,,,,,-37.4,-6.8,,16.6,-7.7,36.3,,,,,,,,,,
1992-09,,,,,,,,,,,,,-34.6,-7.8,,19.6,1.7,31.2,,,,,,,,,,
1992-10,,,,,,,,,,,,,-33.7,-7.6,,20.7,7.8,27.3,,,,,,,,,,
1992-11,,,,,,,,,,,,,-33.1,-3.5,,17.4,1.3,29.4,,,,,,,,,,
1992-12,,,,,,,,,,,,,-31.6,-7.4,,17.9,4.9,40.2,,,,,,,,,,
1993-01,,,,,,,,,,,,,-32.4,-13.2,,13.7,-0.1,37.0,,,,,,,,,,
1993-02,,,,,,,,,,,,,-31.6,-8.6,,16.4,6.4,29.4,,,,,,,,,,
1993-03,,,,,,,,,,,,,-31.2,-9.5,,17.5,-6.3,26.3,,,,,,,,,,
1993-04,,,,,,,,,,,,,-31.8,-5.2,,7.8,-9.8,28.3,,,,,,,,,,
1993-05,,,,,,,,,,,,,-31.7,-6.4,,13.0,-8.7,31.8,,,,,,,,,,
1993-06,,,,,,,,,,,,,-32.3,-12.2,,-0.5,-3.5,40.8,,,,,,,,,,
1993-07,5.9,,-34.2,,41.9,,,,,,,,-31.9,-8.2,,13.4,-14.2,25.5,,,,,,,,,,
1993-08,-1.4,,-33.7,,33.6,,,,,,,,-31.7,-5.4,,13.8,-3.5,22.6,,,,,,,,,,
1993-09,2.3,,-32.6,,31.7,,,,,,,,-31.2,-2.2,,17.7,-2.9,30.7,,,,,,,,,,
1993-10,5.2,,-28.1,,30.2,-8.6,-14.5,-2.8,,,-14.7,,-29.7,-6.9,,18.9,-6.4,30.3,,,,,,,,,,
1993-11,6.7,,-25.3,,34.9,-15.4,-15.8,-5.6,,,-14.3,,-31.3,-10.1,,20.7,1.4,34.1,,,,,,,,,,
1993-12,12.2,,-22.5,,34.1,-14.4,-16.5,-5.1,,,-15.5,,-35.0,-9.2,,23.3,-2.0,23.2,,,,,,,,,,
1994-01,27.1,,-21.3,,32.7,-21.0,-18.1,-8.5,,,-13.5,,-32.1,-8.4,,20.5,-4.3,25.5,,,,,,,,,,
1994-02,14.4,,-25.7,,31.0,-16.5,-14.2,-6.3,,,-11.8,,-32.0,-9.9,,19.3,-3.3,27.1,,,,,,,,,,
1994-03,11.0,,-24.1,,31.6,-19.4,-12.9,-6.6,,,-12.5,,-30.1,-12.2,,19.0,7.2,29.5,,,,,,,,,,
1994-04,4.9,,-24.3,,30.2,-14.1,-15.2,-5.7,,,-12.2,,-27.5,-13.6,,25.9,6.5,33.8,,,,,,,,,,
