country,GBR,GBR,GBR,GBR
2014-Q2,8.497356,81.0,19.4,37.76667
2014-Q3,5.957357,84.2,23.6,38.23333
2014-Q4,4.154312,81.7,14.8,30.9
2015-Q1,4.724353,83.0,25.3,23.23333
2015-Q2,0.2781173,83.6,9.7,23.63333
2015-Q3,-0.3792967,82.6,6.7,25.4
2015-Q4,-5.182169,80.4,-1.9,27.13333
2016-Q1,-4.937347,79.7,-6.6,16.56667
2016-Q2,-0.3850751,79.3,-7.1,7.8
2016-Q3,-0.6039573,81.0,0.8,6.633333
2016-Q4,4.143581,80.5,12.0,10.93333
2017-Q1,9.289806,81.3,15.0,9.0
2017-Q2,9.509654,83.0,21.5,11.93333
2017-Q3,12.16957,82.5,14.1,12.36667
2017-Q4,10.35641,84.7,15.1,5.533333
2018-Q1,5.076134,81.4,22.7,16.9
2018-Q2,4.292692,83.3,13.9,10.86667
2018-Q3,7.055989,82.2,12.8,7.433333
2018-Q4,5.346997,80.1,1.3,6.366667
2019-Q1,0.4161049,81.4,-0.5,-7.133333
2019-Q2,-9.038061,80.7,2.1,-2.866667
2019-Q3,-16.83474,78.8,-16.3,-7.633333
2019-Q4,-16.32642,81.1,-8.5,-8.433333
2020-Q1,-15.35049,79.6,-23.8,6.9
2020-Q2,-44.48171,57.7,-29.6,-62.3
2020-Q3,-20.84125,63.8,-56.9,-21.03333
2020-Q4,-11.1104,70.5,0.8,-28.56667
2021-Q1,-9.89364,74.9,-12.0,2.0
2021-Q2,14.6257,,,
2021-Q3,20.59957,,,
2021-Q4,24.44208,,,
2022-Q1,20.55443,,,
