country,LVA,LVA
subject,BSCURT,BSOITE
measure,BLSA,BLSA
unit,,
powercode,Units,Units
reference_period,,
time,,
1993-Q2,43.7,
1993-Q3,44.4,
1993-Q4,45.3,
1994-Q1,43.7,
1994-Q2,46.6,
1994-Q3,48.4,
1994-Q4,49.6,
1995-Q1,49.9,
1995-Q2,49.7,
1995-Q3,48.4,
1995-Q4,49.3,
1996-Q1,52.4,
1996-Q2,50.6,
1996-Q3,53.3,
1996-Q4,54.4,
1997-Q1,53.8,
1997-Q2,56.7,
1997-Q3,56.5,
1997-Q4,53.9,
1998-Q1,61.8,
1998-Q2,61.5,
1998-Q3,63.5,
1998-Q4,56.6,
1999-Q1,56.0,
1999-Q2,55.0,
1999-Q3,54.4,
1999-Q4,59.0,
2000-Q1,59.1,
2000-Q2,57.1,
2000-Q3,57.4,
2000-Q4,59.8,
2001-Q1,52.1,13.9
2001-Q2,64.3,12.5
2001-Q3,66.1,12.9
2001-Q4,66.9,7.8
2002-Q1,70.6,10.7
2002-Q2,68.3,14.5
2002-Q3,68.8,10.4
2002-Q4,72.4,10.8
2003-Q1,71.2,16.4
2003-Q2,67.1,13.5
2003-Q3,65.5,22.2
2003-Q4,70.9,22.3
2004-Q1,72.7,20.0
2004-Q2,72.3,20.6
2004-Q3,72.1,8.9
2004-Q4,69.6,19.8
2005-Q1,70.8,11.9
2005-Q2,71.6,9.4
2005-Q3,75.3,19.1
2005-Q4,70.8,20.2
2006-Q1,74.3,20.8
2006-Q2,72.7,20.7
2006-Q3,71.2,21.3
2006-Q4,73.1,19.8
2007-Q1,71.4,20.1
2007-Q2,72.9,18.5
2007-Q3,70.4,10.5
2007-Q4,72.4,-0.6
2008-Q1,70.3,-5.0
2008-Q2,66.3,-12.9
2008-Q3,65.9,-18.5
2008-Q4,62.9,-30.8
2009-Q1,57.2,-53.8
2009-Q2,52.3,-45.3
2009-Q3,52.6,-34.4
2009-Q4,52.2,-30.0
2010-Q1,57.9,-14.9
2010-Q2,60.6,6.2
2010-Q3,65.1,10.3
2010-Q4,66.1,17.6
2011-Q1,66.7,9.4
2011-Q2,67.0,10.4
2011-Q3,68.5,3.9
2011-Q4,68.2,-0.6
2012-Q1,68.3,4.7
2012-Q2,71.4,1.7
2012-Q3,72.0,3.2
2012-Q4,71.6,-0.7
2013-Q1,72.1,5.7
2013-Q2,72.0,-2.1
2013-Q3,71.8,-2.4
2013-Q4,72.2,0.3
2014-Q1,72.1,6.0
2014-Q2,72.0,2.1
2014-Q3,71.5,-1.2
2014-Q4,73.3,4.0
2015-Q1,71.3,-1.3
2015-Q2,72.2,-4.2
2015-Q3,71.4,-6.8
2015-Q4,71.0,-6.9
2016-Q1,72.3,-6.6
2016-Q2,73.0,-0.4
2016-Q3,71.8,1.1
2016-Q4,73.1,2.1
2017-Q1,74.5,7.1
2017-Q2,74.8,9.6
2017-Q3,74.5,10.4
2017-Q4,74.2,9.7
2018-Q1,75.8,16.3
2018-Q2,76.3,11.2
2018-Q3,77.4,12.0
2018-Q4,75.9,8.2
2019-Q1,77.0,13.2
2019-Q2,76.9,3.1
2019-Q3,75.9,-6.7
2019-Q4,75.5,-3.5
2020-Q1,74.7,-1.9
2020-Q2,69.1,-26.2
2020-Q3,70.8,-19.4
2020-Q4,72.7,-2.2
2021-Q1,73.1,-3.9
2021-Q2,75.0,7.4
2021-Q3,75.4,14.8
2021-Q4,76.6,3.6
2022-Q1,75.3,3.6
