country,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT
subject,BCBUTE,BCCI,BCEMFT,BCOBLV,BCSPFT,BRBUFT,BRBUTE,BRCI,BREMFT,BRODFT,BRVSLV,BSCI,BSEMFT,BSFGLV,BSOBLV,BSPRFT,BSPRTE,BSSPFT,BSXRLV,BVBUTE,BVCI,BVDEFT,BVDETE,BVEMFT,BVEMTE,CSCICP02,CSESFT,CSINFT
measure,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA
unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-06,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,4.9,12.9
1986-07,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,1.3,10.9
1986-08,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2,-1.3,10.7
1986-09,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,5.9,9.0
1986-10,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,3.3,10.9
1986-11,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2,3.8,8.5
1986-12,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4,1.2,11.4
1987-01,,,,,,,,,,,,11.5,8.4,-8.4,4.0,22.2,13.5,10.0,9.0,,,,,,,1.0,8.1,7.9
1987-02,,,,,,,,,,,,14.2,8.3,-10.2,5.5,26.9,11.4,21.9,1.2,,,,,,,0.6,7.2,11.8
1987-03,,,,,,,,,,,,14.9,8.2,-11.4,7.8,25.5,9.5,19.7,2.1,,,,,,,1.4,5.0,14.8
1987-04,,,,,,,,,,,,14.0,9.3,-10.6,8.7,22.6,9.2,19.4,4.0,,,,,,,1.6,2.7,12.6
1987-05,,,,,,,,,,,,12.5,9.2,-7.3,7.1,23.1,14.1,19.4,3.0,,,,,,,3.6,3.2,14.1
1987-06,,,,,,,,,,,,12.8,9.1,-8.0,9.0,21.5,13.1,22.0,0.8,,,,,,,1.5,1.2,13.3
1987-07,,,,,,,,,,,,12.6,10.0,-10.2,8.2,19.6,12.2,22.0,0.7,,,,,,,3.8,9.4,9.4
1987-08,,,,,,,,,,,,11.7,9.9,-8.9,6.4,19.8,10.4,22.1,-1.3,,,,,,,5.4,12.9,7.3
1987-09,,,,,,,,,,,,11.8,9.8,-9.6,5.3,20.5,8.2,18.7,-7.8,,,,,,,5.0,10.8,9.8
1987-10,,,,,,,,,,,,10.1,10.8,-6.6,3.5,20.1,9.4,24.4,-4.5,,,,,,,6.0,9.9,16.8
1987-11,,,,,,,,,,,,7.8,10.7,-4.7,2.8,15.9,6.8,20.4,-9.6,,,,,,,5.4,6.5,24.0
1987-12,,,,,,,,,,,,7.2,10.6,-4.1,4.8,12.6,8.5,20.3,-14.9,,,,,,,4.2,7.4,21.3
1988-01,,,,,,,,,,,,6.8,8.4,-1.3,0.9,18.2,8.6,24.7,-5.9,,,,,,,2.6,3.4,20.3
1988-02,,,,,,,,,,,,4.9,8.2,0.8,-0.4,15.9,4.4,20.8,-3.0,,,,,,,2.9,0.7,25.0
1988-03,,,,,,,,,,,,4.0,8.0,-1.4,-2.1,12.6,9.4,20.6,-6.0,,,,,,,-0.4,1.2,20.5
