country,SVK,SVK,SVK,SVK,SVK,SVK,SVK,SVK,SVK,SVK,SVK,SVK,SVK,SVK,SVK,SVK,SVK,SVK,SVK,SVK,SVK,SVK,SVK,SVK,SVK,SVK,SVK,SVK
subject,BCBUTE,BCCI,BCEMFT,BCOBLV,BCSPFT,BRBUFT,BRBUTE,BRCI,BREMFT,BRODFT,BRVSLV,BSCI,BSEMFT,BSFGLV,BSOBLV,BSPRFT,BSPRTE,BSSPFT,BSXRLV,BVBUTE,BVCI,BVDEFT,BVDETE,BVEMFT,BVEMTE,CSCICP02,CSESFT,CSINFT
measure,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA
unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-08,-32.6,-62.8,-52.9,-72.6,31.1,,,,,,,0.3,,40.0,26.8,14.1,-13.5,52.9,40.4,,,,,,,,,
1993-09,-10.6,-58.1,-46.8,-69.5,30.6,11.1,-29.2,-14.2,-54.6,-2.4,24.5,-2.1,,36.8,-12.0,42.4,-11.8,49.6,12.5,,,,,,,,,
1993-10,-4.5,-61.6,-44.5,-78.7,37.7,-6.0,-22.9,-17.4,-63.4,-13.8,23.3,-2.2,-48.7,39.1,10.6,21.8,-17.1,52.6,29.0,,,,,,,,,
1993-11,0.2,-52.7,-34.8,-70.6,33.3,-5.7,-15.6,-10.2,-68.2,-8.9,9.3,22.8,-48.6,6.3,38.6,36.1,19.7,62.0,47.3,,,,,,,,,
1993-12,12.8,-49.5,-20.7,-78.3,41.4,2.9,-16.9,-10.6,-70.6,16.7,17.8,14.4,-47.6,39.1,40.7,41.6,45.3,49.7,49.3,,,,,,,,,
1994-01,12.2,-58.8,-38.4,-79.3,37.3,15.8,-25.7,-8.8,-61.4,40.8,16.3,5.6,-45.5,34.5,48.4,3.1,24.2,51.7,52.6,,,,,,,,,
1994-02,8.2,-62.6,-46.6,-78.6,23.2,6.5,-7.4,-3.6,-60.3,19.9,9.9,9.7,-44.7,40.4,46.2,23.2,23.7,49.2,39.0,,,,,,,,,
1994-03,-12.0,-62.8,-32.9,-92.8,36.0,15.7,-31.0,-11.4,-47.8,30.8,18.8,5.3,-43.8,50.2,36.0,29.9,2.0,50.9,43.4,,,,,,,,,
1994-04,-15.4,-57.7,-27.9,-87.5,24.8,7.9,-24.0,-9.5,-51.9,15.5,12.3,-6.7,-50.3,52.2,-7.2,39.5,-2.3,15.2,7.5,,,,,,,,,
1994-05,-5.8,-45.6,-25.2,-66.0,50.9,11.3,-33.3,-10.3,-70.5,21.4,8.9,0.4,-49.6,54.6,16.1,39.6,13.8,70.6,29.5,,,,,,,,,
1994-06,-28.3,-55.8,-29.4,-82.2,35.9,15.3,-20.6,-8.5,-54.0,23.9,20.1,14.6,-49.0,33.6,27.5,49.9,14.7,60.5,23.9,,,,,,,,,
1994-07,-7.3,-54.9,-28.1,-81.8,36.8,18.2,-21.1,-4.9,-63.4,16.1,11.8,-4.3,-32.9,35.2,-16.7,39.0,7.4,48.1,-23.4,,,,,,,,,
1994-08,-4.6,-53.3,-24.0,-82.7,37.1,26.0,-17.4,1.2,-59.8,31.0,5.0,-1.7,-32.4,38.1,-14.1,47.1,-5.1,40.0,-5.6,,,,,,,,,
1994-09,-7.7,-50.1,-19.8,-80.5,36.6,9.4,-25.5,-8.5,-51.6,16.6,9.5,7.9,-32.1,36.8,49.0,11.4,25.3,50.6,42.4,,,,,,,,,
