country,SVN
subject,BSCURT
measure,BLSA
unit,
powercode,Units
reference_period,
time,
1996,77.5
1997,78.85
1998,80.375
1999,77.925
2000,79.725
2001,81.125
2002,81.05
2003,81.1
2004,81.675
2005,82.325
2006,83.875
2007,85.775
2008,83.85
2009,70.9
2010,75.95
2011,80.425
2012,79.075
2013,78.25
2014,80.3
2015,83.6
2016,83.525
2017,85.05
2018,85.3
2019,84.35
2020,78.15
2021,84.475
