country,LTU,LTU,LTU,LTU,LTU,LTU,LTU,LTU,LTU,LTU,LTU,LTU,LTU,LTU,LTU,LTU,LTU,LTU,LTU,LTU,LTU,LTU,LTU,LTU,LTU,LTU,LTU,LTU
subject,BCBUTE,BCCI,BCEMFT,BCOBLV,BCSPFT,BRBUFT,BRBUTE,BRCI,BREMFT,BRODFT,BRVSLV,BSCI,BSEMFT,BSFGLV,BSOBLV,BSPRFT,BSPRTE,BSSPFT,BSXRLV,BVBUTE,BVCI,BVDEFT,BVDETE,BVEMFT,BVEMTE,CSCICP02,CSESFT,CSINFT
measure,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA
unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-01,,,,,,,37.6,,,,,,,,,,,,,,,,,,,,,
1985-02,,,,,,,29.7,,,,,,,,,,,,,,,,,,,,,
1985-03,,,,,,,40.5,,,,,,,,,,,,,,,,,,,,,
1985-04,,,,,,,32.5,,,,,,,,,,,,,,,,,,,,,
1985-05,,,,,,,23.7,,,,,,,,,,,,,,,,,,,,,
1985-06,,,,,,,25.1,,,,,,,,,,,,,,,,,,,,,
1985-07,,,,,,,27.1,,,,,,,,,,,,,,,,,,,,,
1985-08,,,,,,,46.7,,,,,,,,,,,,,,,,,,,,,
1985-09,,,,,,,23.2,,,,,,,,,,,,,,,,,,,,,
1985-10,,,,,,,24.9,,,,,,,,,,,,,,,,,,,,,
1985-11,,,,,,,25.4,,,,,,,,,,,,,,,,,,,,,
1985-12,,,,,,,28.9,,,,,,,,,,,,,,,,,,,,,
1986-01,,,,,,,38.6,,,,,,,,,,,,,,,,,,,,,
1986-02,,,,,,,35.5,,,,,,,,,,,,,,,,,,,,,
1986-03,,,,,,,24.4,,,,,,,,,,,,,,,,,,,,,
1986-04,,,,,,,19.6,,,,,,,,,,,,,,,,,,,,,
1986-05,,,,,,,21.6,,,,,,,,,,,,,,,,,,,,,
1986-06,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,
1986-07,,,,,,,26.2,,,,,,,,,,,,,,,,,,,,,
1986-08,,,,,,,26.8,,,,,,,,,,,,,,,,,,,,,
1986-09,,,,,,,30.3,,,,,,,,,,,,,,,,,,,,,
1986-10,,,,,,,28.8,,,,,,,,,,,,,,,,,,,,,
1986-11,,,,,,,25.5,,,,,,,,,,,,,,,,,,,,,
1986-12,,,,,,,33.9,,,,,,,,,,,,,,,,,,,,,
1987-01,,,,,,,28.7,,,,,,,,,,,,,,,,,,,,,
1987-02,,,,,,,34.2,,,,,,,,,,,,,,,,,,,,,
1987-03,,,,,,,32.7,,,,,,,,,,,,,,,,,,,,,
1987-04,,,,,,,35.7,,,,,,,,,,,,,,,,,,,,,
1987-05,,,,,,,36.6,,,,,,,,,,,,,,,,,,,,,
1987-06,,,,,,,21.8,,,,,,,,,,,,,,,,,,,,,
1987-07,,,,,,,34.2,,,,,,,,,,,,,,,,,,,,,
1987-08,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,
1987-09,,,,,,,27.8,,,,,,,,,,,,,,,,,,,,,
1987-10,,,,,,,33.5,,,,,,,,,,,,,,,,,,,,,
1987-11,,,,,,,27.6,,,,,,,,,,,,,,,,,,,,,
1987-12,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,
1988-01,,,,,,,43.0,,,,,,,,,,,,,,,,,,,,,
1988-02,,,,,,,39.4,,,,,,,,,,,,,,,,,,,,,
