country,EA19,EA19
subject,BSCURT,BSOITE
measure,BLSA,BLSA
unit,,
powercode,Units,Units
reference_period,,
time,,
1985-Q1,78.8,-5.1
1985-Q2,79.1,-3.3
1985-Q3,80.2,2.6
1985-Q4,80.1,10.6
1986-Q1,80.6,1.2
1986-Q2,80.4,-3.7
1986-Q3,81.2,8.8
1986-Q4,80.6,6.4
1987-Q1,80.7,1.8
1987-Q2,80.4,4.6
1987-Q3,80.8,6.6
1987-Q4,80.5,8.9
1988-Q1,81.2,5.5
1988-Q2,80.8,11.9
1988-Q3,82.1,16.0
1988-Q4,82.9,16.2
1989-Q1,84.0,15.3
1989-Q2,83.9,15.3
1989-Q3,84.5,13.8
1989-Q4,84.9,9.1
1990-Q1,84.7,7.5
1990-Q2,84.7,10.5
1990-Q3,84.7,3.5
1990-Q4,84.6,5.8
1991-Q1,83.3,1.8
1991-Q2,82.9,-15.7
1991-Q3,81.4,-2.1
1991-Q4,81.3,-16.1
1992-Q1,81.1,1.0
1992-Q2,79.5,-10.7
1992-Q3,78.6,-10.5
1992-Q4,77.2,-27.7
1993-Q1,76.2,-13.4
1993-Q2,76.2,-21.9
1993-Q3,75.3,-14.2
1993-Q4,75.7,-15.5
1994-Q1,77.1,3.4
1994-Q2,78.3,6.9
1994-Q3,79.7,14.8
1994-Q4,80.6,17.0
1995-Q1,81.6,17.4
1995-Q2,82.4,7.2
1995-Q3,82.2,1.9
1995-Q4,81.8,-2.2
1996-Q1,80.3,-10.3
1996-Q2,79.8,-12.0
1996-Q3,79.7,-7.5
1996-Q4,79.1,-4.7
1997-Q1,80.2,-3.4
1997-Q2,81.1,1.1
1997-Q3,81.6,10.6
1997-Q4,82.3,10.5
1998-Q1,82.4,12.7
1998-Q2,83.1,9.0
1998-Q3,82.9,5.6
1998-Q4,82.2,-1.8
1999-Q1,81.4,-1.3
1999-Q2,81.1,-1.1
1999-Q3,81.5,4.3
1999-Q4,82.3,8.9
2000-Q1,83.0,15.7
2000-Q2,83.4,16.2
2000-Q3,83.7,13.0
2000-Q4,84.5,10.4
2001-Q1,84.3,5.1
2001-Q2,83.2,-1.3
2001-Q3,82.1,-10.6
2001-Q4,80.8,-13.5
2002-Q1,80.5,-11.7
2002-Q2,80.6,-4.6
2002-Q3,81.0,-3.4
2002-Q4,81.2,-7.9
2003-Q1,80.6,-1.4
2003-Q2,80.5,-9.7
2003-Q3,80.8,-7.7
2003-Q4,81.3,-0.7
2004-Q1,81.1,3.6
2004-Q2,81.3,6.2
2004-Q3,81.8,7.4
2004-Q4,81.7,5.3
2005-Q1,81.4,2.9
2005-Q2,80.9,-3.2
2005-Q3,81.1,0.9
2005-Q4,81.3,3.1
2006-Q1,81.7,7.8
2006-Q2,82.9,17.4
2006-Q3,83.6,14.6
2006-Q4,83.9,15.8
2007-Q1,84.1,13.6
2007-Q2,84.7,16.7
2007-Q3,84.5,12.1
2007-Q4,84.4,8.2
2008-Q1,84.3,7.8
2008-Q2,83.7,-0.2
2008-Q3,82.6,-11.6
2008-Q4,81.1,-29.9
2009-Q1,74.8,-43.8
2009-Q2,70.1,-39.6
2009-Q3,69.4,-20.0
2009-Q4,70.6,-7.4
2010-Q1,72.7,7.2
2010-Q2,76.0,13.4
2010-Q3,77.8,16.6
2010-Q4,78.6,17.5
2011-Q1,80.7,21.9
2011-Q2,82.1,15.8
2011-Q3,81.0,1.4
2011-Q4,80.1,-4.3
2012-Q1,80.3,-6.2
2012-Q2,80.4,-11.3
2012-Q3,78.7,-17.3
2012-Q4,78.1,-12.8
2013-Q1,78.2,-11.9
2013-Q2,78.0,-11.0
2013-Q3,78.7,-4.0
2013-Q4,78.8,3.0
2014-Q1,80.5,5.5
2014-Q2,80.2,3.5
2014-Q3,80.4,-0.9
2014-Q4,80.5,0.1
2015-Q1,80.9,0.5
2015-Q2,81.1,2.7
2015-Q3,81.1,3.0
2015-Q4,81.3,3.2
2016-Q1,81.6,1.3
2016-Q2,81.2,4.6
2016-Q3,81.4,6.9
2016-Q4,82.0,9.4
2017-Q1,82.2,11.6
2017-Q2,82.4,15.4
2017-Q3,83.3,17.1
2017-Q4,83.7,18.8
2018-Q1,84.2,18.0
2018-Q2,83.9,15.4
2018-Q3,83.7,11.7
2018-Q4,83.5,2.6
2019-Q1,83.5,-3.5
2019-Q2,82.7,-1.9
2019-Q3,81.8,-7.6
2019-Q4,81.0,-2.4
2020-Q1,80.8,-4.1
2020-Q2,68.1,-34.8
2020-Q3,72.1,-14.0
2020-Q4,76.2,9.4
2021-Q1,77.4,3.9
2021-Q2,82.3,28.2
2021-Q3,82.8,30.7
2021-Q4,82.0,18.6
2022-Q1,81.9,16.8
