country,AUS
subject,BSCURT
measure,BLSA
unit,
powercode,Units
reference_period,
time,
1999,-12.5
2000,-18.0
2001,-24.5
2002,0.5
2003,3.5
2004,1.25
2005,-3.0
2006,-5.75
2007,1.5
2008,-5.5
2009,-29.5
2010,-14.75
2011,-24.0
2012,-21.5
2013,-20.75
2014,-15.0
2015,-6.25
2016,-4.75
2017,-3.75
2018,-2.0
2019,-8.25
2020,-43.0
2021,-19.5
