country,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE
subject,BCCI,BCEMFT,BCOBLV,BRBUFT,BRBUTE,BRCI,BREMFT,BRVSLV,BSCURT,BSSPFT,CSCICP02,CSESFT,CSINFT
measure,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA
unit,,,,,,,,,,,,,
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,,,,,
time,,,,,,,,,,,,,
1967-Q2,,,,,,,,,86.79,,,,
1967-Q3,,,,,,,,,85.6,,,,
1967-Q4,,,,,,,,,85.49,,,,
1968-Q1,,,,,,,,,85.11,,,,
1968-Q2,,,,,,,,,87.79,,,,
1968-Q3,,,,,,,,,82.62,,,,
1968-Q4,,,,,,,,,87.49,,,,
1969-Q1,,,,,,,,,87.07,,,,
1969-Q2,,,,,,,,,85.83,,,,
1969-Q3,,,,,,,,,87.64,,,,
1969-Q4,,,,,,,,,89.49,,,,
1970-Q1,,,,,,,,,87.99,,,,
1970-Q2,,,,,,,,,88.88,,,,
1970-Q3,,,,,,,,,88.7,,,,
1970-Q4,,,,,,,,,88.45,,,,
1971-Q1,,,,,,,,,89.94,,,,
1971-Q2,,,,,,,,,84.16,,,,
1971-Q3,,,,,,,,,89.75,,,,
1971-Q4,,,,,,,,,82.42,,,,
1972-Q1,,,,,,,,,88.24,,,,
1972-Q2,,,,,,,,,85.11,,,,
1972-Q3,,,,,,,,,87.09,,,,
1972-Q4,,,,,,,,,86.23,,9.919232,-2.726373,150.5483
1973-Q1,,,,,,,,,86.79,,-1.762625,-12.51318,128.1246
1973-Q2,,,,,35.50333,,,16.38,81.61,,-7.624028,-23.61922,130.9752
1973-Q3,,,,,20.27,,,22.07,78.49,,-8.949067,-21.03961,119.5592
1973-Q4,,,,,25.91,,,16.82667,86.08,,-16.43848,-31.4607,146.4706
1974-Q1,,,,,23.72,,,20.29667,85.98,,-14.25777,-31.81477,148.1043
1974-Q2,,,,,16.87333,,,29.21667,89.55,,-32.29713,-58.82756,143.31
1974-Q3,,,,,24.44333,,,21.52,87.71,,-28.25726,-46.74472,136.7866
1974-Q4,,,,,38.46667,,,3.096667,85.41,,-31.80944,-59.11065,131.6442
1975-Q1,,,,,3.273333,,,14.77,82.23,,-30.54362,-48.18584,114.452
1975-Q2,,,,,-10.17333,,,34.06333,81.49,,-25.41459,-43.54476,51.78437
1975-Q3,,,,,-22.86333,,,26.13333,75.61,,-21.32644,-28.90041,41.89484
1975-Q4,,,,,-37.10333,,,27.41,75.24,,-22.8345,-35.99426,30.1979
1976-Q1,,,,,-13.68,,,13.61667,75.38,,-23.24785,-32.53839,26.33426
1976-Q2,,,,,2.676667,,,6.553333,76.47,,3.00859,8.284577,41.7313
1976-Q3,,,,,2.24,,,16.42333,79.18,,12.79751,27.11275,61.71985
1976-Q4,,,,,2.603333,,,21.84,78.68,,7.17687,17.09332,50.13557
1977-Q1,,,,,10.08667,,,11.40667,78.5,,-14.29627,-13.91624,57.8998
1977-Q2,,,,,22.35,,,12.42,78.4,,-2.375884,-0.4580521,63.74642
1977-Q3,,,,,34.13667,,,21.59333,78.93,,6.706851,13.21359,65.25054
1977-Q4,,,,,23.82667,,,20.68333,80.45,,3.804823,13.20095,65.43092
1978-Q1,,,,,16.92667,,,21.78333,80.91,,5.556594,10.92303,60.43551
1978-Q2,,,,,13.41667,,,24.09333,80.23,,-1.752864,0.6476111,61.11107
1978-Q3,,,,,-7.903333,,,23.58,80.09,,-3.699907,-8.316941,44.08041
1978-Q4,,,,,-22.38,,,24.77,78.75,,-15.73953,-29.00715,53.34974
1979-Q1,,,,,-11.15667,,,18.4,79.32,,-5.574085,-11.5169,69.20396
1979-Q2,,,,,-8.183333,,,10.9,81.52,,2.166511,2.148647,79.99284
1979-Q3,,,,,-17.86,,,9.923333,81.5,,-10.9636,-24.98081,82.61543
1979-Q4,,,,,18.02333,,,13.35667,82.96,,-12.42955,-22.67064,88.50532
1980-Q1,,,,,29.59,,,14.91,84.37,,-6.920717,-15.90427,95.77364
1980-Q2,,,,,36.66667,,,12.59333,86.68,,-10.13891,-18.35732,95.99043
1980-Q3,,,,,25.57,,,20.18,87.26,,-7.415003,-19.70939,87.33676
1980-Q4,,,,,48.23333,,,7.24,86.9,,-11.33267,-25.09144,98.68311
1981-Q1,,,,,34.33333,,,16.69333,86.72,,-16.60507,-28.71694,112.0857
1981-Q2,,,,,29.00667,,,16.93667,85.17,,-26.85848,-41.85775,112.4162
1981-Q3,,,,,30.76,,,22.03667,84.72,,-27.94646,-45.43504,123.6769
1981-Q4,,,,,27.36333,,,23.85667,85.06,,-28.44951,-43.49042,109.0177
1982-Q1,,,,,8.03,,,16.02,83.74,,-23.79447,-40.86183,95.1804
1982-Q2,,,,,4.87,,,27.35667,81.32,,-22.29844,-36.82143,89.14193
1982-Q3,,,,,5.7,,,14.51667,79.87,,-33.92384,-52.64895,105.0935
1982-Q4,,,,,-6.41,,,21.53667,78.74,,-29.10312,-47.41844,89.87801
1983-Q1,,,,,14.94,,,26.50333,78.88,,-25.62581,-42.16248,70.51632
1983-Q2,,,,,10.57,,,11.61,79.48,,-8.674356,-9.676137,73.71214
1983-Q3,,,,,2.12,,,26.28667,80.31,,-12.86229,-18.22325,98.58233
1983-Q4,,,,,12.25667,,,6.59,79.63,,-5.405754,-5.169632,83.48625
1984-Q1,,,,,17.29,,,7.81,81.11,,2.122485,6.190679,88.61594
1984-Q2,,,,,18.07,,,10.72667,82.24,,-5.927037,-9.602305,92.56816
1984-Q3,,,,,37.65333,,,26.69667,82.39,,1.244869,1.159131,88.67037
1984-Q4,,,,,26.28333,,,21.67667,83.84,,0.5166577,2.807909,91.75124
1985-Q1,,,,,27.57667,,,19.00333,83.82,,3.005049,5.724516,97.75134
1985-Q2,,,,,35.33333,,,28.83667,84.34,,-0.837247,1.077469,103.5891
1985-Q3,,,,,22.88667,,,36.64333,85.08,,1.193373,2.787759,90.75117
1985-Q4,,,,,25.60333,,,35.81333,85.69,,8.201033,11.33309,87.03152
1986-Q1,,,,,25.32667,,,26.33667,86.29,,16.60596,20.43049,94.30257
1986-Q2,,,,,30.35,,,29.47,86.78,,7.968871,11.23754,92.93172
1986-Q3,,,,,25.13667,,,20.27,86.86,,3.361699,5.417349,85.40852
1986-Q4,,,,,20.44667,,,21.86,86.41,,7.815247,9.164776,74.9109
1987-Q1,,,,,23.24667,,,16.26,85.95,,4.265554,3.231092,70.57256
