country,SWE
subject,BSCURT
measure,BLSA
unit,
powercode,Units
reference_period,
time,
1996,84.75
1997,85.45
1998,85.5
1999,84.8
2000,86.65
2001,84.0
2002,82.975
2003,83.225
2004,85.275
2005,86.25
2006,86.925
2007,87.675
2008,86.4
2009,73.325
2010,79.875
2011,85.75
2012,82.325
2013,79.625
2014,80.925
2015,80.975
2016,83.3
2017,85.2
2018,87.875
2019,86.15
2020,78.9
2021,85.05
