country,GRC,GRC
subject,BSCURT,BSOITE
measure,BLSA,BLSA
unit,,
powercode,Units,Units
reference_period,,
time,,
1985-Q1,74.0,
1985-Q2,71.5,
1985-Q3,73.2,
1985-Q4,75.1,
1986-Q1,75.6,
1986-Q2,76.4,
1986-Q3,76.7,
1986-Q4,76.2,
1987-Q1,76.7,
1987-Q2,76.4,3.4
1987-Q3,77.4,4.8
1987-Q4,74.3,5.6
1988-Q1,71.7,6.2
1988-Q2,74.8,10.9
1988-Q3,74.9,6.5
1988-Q4,77.3,8.9
1989-Q1,76.9,6.4
1989-Q2,78.8,4.5
1989-Q3,78.9,5.2
1989-Q4,77.2,4.5
1990-Q1,77.3,6.6
1990-Q2,76.2,-4.7
1990-Q3,77.9,-4.4
1990-Q4,76.6,-10.2
1991-Q1,78.6,-13.8
1991-Q2,76.9,-7.3
1991-Q3,77.3,-0.5
1991-Q4,77.9,-3.7
1992-Q1,78.3,-6.9
1992-Q2,76.6,-0.1
1992-Q3,77.1,5.1
1992-Q4,77.5,3.6
1993-Q1,76.9,1.1
1993-Q2,76.5,-0.4
1993-Q3,74.3,-8.2
1993-Q4,75.3,-8.7
1994-Q1,74.7,3.6
1994-Q2,74.7,10.4
1994-Q3,75.4,5.8
1994-Q4,75.1,5.4
1995-Q1,75.3,11.5
1995-Q2,77.4,5.1
1995-Q3,77.7,4.8
1995-Q4,77.2,-4.2
1996-Q1,74.9,-1.2
1996-Q2,75.7,-0.3
1996-Q3,76.6,6.2
1996-Q4,75.0,3.3
1997-Q1,73.8,16.6
1997-Q2,73.1,17.7
1997-Q3,74.6,17.4
1997-Q4,73.5,23.0
1998-Q1,75.9,14.2
1998-Q2,78.0,22.7
1998-Q3,75.2,16.4
1998-Q4,74.5,14.0
1999-Q1,75.3,13.4
1999-Q2,76.0,8.3
1999-Q3,74.6,13.6
1999-Q4,77.6,11.3
2000-Q1,79.0,13.6
2000-Q2,77.6,19.8
2000-Q3,77.4,14.1
2000-Q4,79.2,10.1
2001-Q1,78.8,17.4
2001-Q2,79.1,4.3
2001-Q3,76.5,10.2
2001-Q4,76.8,10.7
2002-Q1,75.3,11.8
2002-Q2,76.7,10.9
2002-Q3,79.0,17.6
2002-Q4,76.9,8.4
2003-Q1,75.8,10.8
2003-Q2,77.2,-4.2
2003-Q3,76.7,13.0
2003-Q4,76.0,8.9
2004-Q1,77.5,8.6
2004-Q2,74.7,11.8
2004-Q3,76.3,3.6
2004-Q4,74.2,5.5
2005-Q1,71.9,2.6
2005-Q2,72.5,1.2
2005-Q3,71.9,4.6
2005-Q4,72.2,1.2
2006-Q1,74.2,0.9
2006-Q2,74.6,18.4
2006-Q3,77.2,13.0
2006-Q4,76.7,14.2
2007-Q1,76.9,13.6
2007-Q2,76.9,17.5
2007-Q3,76.7,8.0
2007-Q4,77.1,5.9
2008-Q1,76.7,15.4
2008-Q2,77.2,11.9
2008-Q3,76.2,6.7
2008-Q4,75.4,-2.3
2009-Q1,73.4,-1.0
2009-Q2,70.3,-15.9
2009-Q3,68.3,-4.9
2009-Q4,70.6,-2.9
2010-Q1,69.0,-5.3
2010-Q2,69.7,-3.6
2010-Q3,66.6,-13.6
2010-Q4,67.1,-8.0
2011-Q1,69.5,-2.1
2011-Q2,68.8,-9.3
2011-Q3,67.5,-7.1
2011-Q4,65.8,-8.7
2012-Q1,65.5,-18.0
2012-Q2,64.9,-11.2
2012-Q3,63.9,-14.6
2012-Q4,65.1,-12.9
2013-Q1,65.3,-2.8
2013-Q2,64.0,-11.3
2013-Q3,64.9,3.3
2013-Q4,65.9,-0.4
2014-Q1,65.9,0.0
2014-Q2,67.7,7.1
2014-Q3,70.4,5.4
2014-Q4,66.7,6.2
2015-Q1,69.2,0.4
2015-Q2,67.7,-6.0
2015-Q3,63.5,-24.6
2015-Q4,64.2,-12.8
2016-Q1,65.5,-4.9
2016-Q2,67.8,1.2
2016-Q3,67.8,-1.0
2016-Q4,69.3,2.3
2017-Q1,68.6,1.9
2017-Q2,68.1,-0.6
2017-Q3,72.0,7.1
2017-Q4,71.2,2.7
2018-Q1,70.4,5.5
2018-Q2,71.2,4.8
2018-Q3,70.7,9.6
2018-Q4,70.9,6.1
2019-Q1,70.2,2.6
2019-Q2,71.7,2.5
2019-Q3,71.8,6.8
2019-Q4,72.1,5.0
2020-Q1,72.3,5.5
2020-Q2,67.3,-2.0
2020-Q3,70.3,-30.1
2020-Q4,73.2,-6.9
2021-Q1,72.5,-6.7
2021-Q2,74.7,3.8
2021-Q3,77.8,9.7
2021-Q4,77.3,14.1
2022-Q1,77.0,7.6
