country,SVN,SVN,SVN,SVN,SVN,SVN,SVN,SVN,SVN,SVN,SVN,SVN,SVN,SVN,SVN,SVN,SVN,SVN,SVN,SVN,SVN,SVN,SVN,SVN,SVN,SVN,SVN,SVN
subject,BCBUTE,BCCI,BCEMFT,BCOBLV,BCSPFT,BRBUFT,BRBUTE,BRCI,BREMFT,BRODFT,BRVSLV,BSCI,BSEMFT,BSFGLV,BSOBLV,BSPRFT,BSPRTE,BSSPFT,BSXRLV,BVBUTE,BVCI,BVDEFT,BVDETE,BVEMFT,BVEMTE,CSCICP02,CSESFT,CSINFT
measure,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA
unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-04,,,,,,,,,,,,-4.1,-31.5,15.2,-14.4,17.4,,,-11.5,,,,,,,,,
1995-05,,,,,,,,,,,,-1.1,-31.8,14.5,-14.4,25.4,-8.4,0.6,-8.3,,,,,,,,,
1995-06,,,,,,,,,,,,-5.6,-32.0,18.3,-16.5,18.0,10.2,-5.9,-9.6,,,,,,,,,
1995-07,,,,,,,,,,,,-9.1,-38.2,19.3,-20.6,12.6,8.7,-4.1,-13.2,,,,,,,,,
1995-08,,,,,,,,,,,,-12.2,-38.3,27.1,-23.8,14.2,-12.7,-7.1,-16.6,,,,,,,,,
1995-09,,,,,,,,,,,,-8.9,-38.3,24.4,-24.7,22.3,-1.4,-6.3,-27.8,,,,,,,,,
1995-10,,,,,,,,,,,,-12.0,-46.8,23.9,-30.1,17.9,-6.0,-5.5,-29.8,,,,,,,,,
1995-11,,,,,,,,,,,,-12.9,-46.7,25.2,-28.3,14.8,-3.9,-8.2,-29.0,,,,,,,,,
1995-12,,,,,,,,,,,,-15.9,-46.6,28.1,-34.8,15.0,1.7,-11.7,-32.1,,,,,,,,,
1996-01,,,,,,,,,,,,-13.5,-43.5,24.5,-31.7,15.8,-7.5,-11.6,-32.5,,,,,,,,,
1996-02,,,,,,,,,,,,-14.3,-43.4,29.6,-26.5,13.2,10.3,-10.2,-24.8,,,,,,,,,
1996-03,,,,,,,,,,,,-13.6,-43.3,23.5,-29.0,11.8,2.8,-11.7,-33.7,,,,,,,-16.2,-4.7,46.0
1996-04,,,,,,,,,,,,-17.0,-45.5,23.3,-38.1,10.4,-1.1,-8.1,-42.4,,,,,,,-20.1,-9.4,49.9
1996-05,,,,,,,,,,,,-14.1,-45.8,24.5,-34.3,16.4,1.6,-15.3,-41.3,,,,,,,-15.4,-4.9,54.0
1996-06,,,,,,,,,,,,-11.7,-45.8,22.5,-30.5,17.9,2.3,-11.8,-33.6,,,,,,,-14.3,-4.1,55.1
1996-07,,,,,,,,,,,,-16.3,-46.5,26.7,-36.2,13.9,-10.1,-12.9,-39.1,,,,,,,-14.2,-3.3,53.7
1996-08,,,,,,,,,,,,-14.7,-46.4,26.0,-32.2,14.0,6.8,-11.9,-29.4,,,,,,,-13.9,-4.6,52.5
1996-09,,,,,,,,,,,,-10.2,-46.1,20.7,-25.5,15.5,9.1,-11.4,-19.7,,,,,,,-10.9,0.5,51.9
1996-10,,,,,,,,,,,,-6.9,-42.8,15.9,-20.7,16.0,14.1,-12.5,-16.2,,,,,,,-15.2,-7.7,55.2
1996-11,,,,,,,,,,,,-5.2,-42.7,15.3,-22.0,21.8,15.2,-9.7,-21.3,,,,,,,-11.9,1.3,55.4
