country,EST,EST
subject,BSCURT,BSOITE
measure,BLSA,BLSA
unit,,
powercode,Units,Units
reference_period,,
time,,
1993-Q2,52.5,
1993-Q3,54.5,
1993-Q4,52.2,
1994-Q1,54.8,
1994-Q2,56.5,
1994-Q3,57.5,
1994-Q4,58.2,
1995-Q1,55.8,
1995-Q2,57.5,
1995-Q3,55.6,
1995-Q4,58.1,
1996-Q1,58.8,
1996-Q2,55.5,
1996-Q3,56.5,
1996-Q4,58.9,
1997-Q1,59.8,
1997-Q2,62.6,
1997-Q3,63.9,
1997-Q4,63.1,
1998-Q1,66.7,-9.7
1998-Q2,67.8,-91.7
1998-Q3,70.0,22.9
1998-Q4,68.6,-82.3
1999-Q1,64.4,-29.5
1999-Q2,63.8,-0.4
1999-Q3,61.5,-17.0
1999-Q4,64.2,-40.2
2000-Q1,64.4,-9.4
2000-Q2,67.3,-6.4
2000-Q3,66.4,0.5
2000-Q4,68.7,18.3
2001-Q1,68.8,26.8
2001-Q2,72.4,11.9
2001-Q3,75.5,-2.7
2001-Q4,73.7,-13.9
2002-Q1,71.0,-10.6
2002-Q2,75.2,12.5
2002-Q3,75.3,10.8
2002-Q4,76.5,8.8
2003-Q1,73.6,1.8
2003-Q2,74.2,3.0
2003-Q3,73.1,21.3
2003-Q4,73.8,24.7
2004-Q1,73.0,25.7
2004-Q2,75.5,28.0
2004-Q3,74.3,29.0
2004-Q4,74.8,21.5
2005-Q1,75.7,20.7
2005-Q2,77.5,29.2
2005-Q3,77.6,30.2
2005-Q4,78.0,36.3
2006-Q1,79.4,39.1
2006-Q2,79.1,26.8
2006-Q3,78.5,35.8
2006-Q4,78.0,39.2
2007-Q1,78.4,44.4
2007-Q2,77.6,34.7
2007-Q3,77.2,21.9
2007-Q4,74.9,1.4
2008-Q1,74.3,8.8
2008-Q2,72.3,-5.4
2008-Q3,69.4,-14.7
2008-Q4,66.6,-26.7
2009-Q1,61.0,-42.9
2009-Q2,56.9,-49.7
2009-Q3,56.5,-32.9
2009-Q4,58.0,-16.9
2010-Q1,61.6,-8.0
2010-Q2,66.6,17.8
2010-Q3,68.8,16.5
2010-Q4,71.2,37.4
2011-Q1,73.5,28.6
2011-Q2,73.4,31.8
2011-Q3,73.0,19.7
2011-Q4,73.2,12.1
2012-Q1,70.5,6.2
2012-Q2,69.0,13.0
2012-Q3,71.3,6.9
2012-Q4,70.1,-7.8
2013-Q1,70.5,-8.4
2013-Q2,70.8,-10.5
2013-Q3,71.5,8.2
2013-Q4,72.5,10.1
2014-Q1,72.3,0.8
2014-Q2,72.6,-2.4
2014-Q3,74.0,-5.3
2014-Q4,73.2,1.0
2015-Q1,71.2,-3.1
2015-Q2,70.7,2.0
2015-Q3,72.7,-1.0
2015-Q4,71.0,2.6
2016-Q1,72.5,9.6
2016-Q2,73.8,8.4
2016-Q3,73.0,6.1
2016-Q4,75.0,11.8
2017-Q1,74.4,11.0
2017-Q2,76.4,20.1
2017-Q3,73.9,15.4
2017-Q4,74.8,15.0
2018-Q1,75.5,9.2
2018-Q2,73.9,1.6
2018-Q3,75.2,6.5
2018-Q4,73.0,-1.3
2019-Q1,75.2,3.1
2019-Q2,73.5,-2.1
2019-Q3,72.5,-10.0
2019-Q4,69.9,-16.7
2020-Q1,70.7,-7.7
2020-Q2,63.3,-32.0
2020-Q3,66.0,-37.7
2020-Q4,69.6,-4.0
2021-Q1,71.6,19.3
2021-Q2,76.5,27.8
2021-Q3,78.8,34.0
2021-Q4,84.6,31.0
2022-Q1,72.4,25.5
