country,LTU,LTU
subject,BSCURT,BSOITE
measure,BLSA,BLSA
unit,,
powercode,Units,Units
reference_period,,
time,,
1993-Q1,54.5,
1993-Q2,53.2,
1993-Q3,49.3,
1993-Q4,50.0,
1994-Q1,49.5,
1994-Q2,49.3,
1994-Q3,51.2,
1994-Q4,48.0,
1995-Q1,44.5,
1995-Q2,44.2,
1995-Q3,44.2,
1995-Q4,44.1,
1996-Q1,45.5,
1996-Q2,46.0,
1996-Q3,46.2,
1996-Q4,48.0,
1997-Q1,50.6,
1997-Q2,49.3,
1997-Q3,50.3,
1997-Q4,52.0,
1998-Q1,52.5,
1998-Q2,53.4,
1998-Q3,54.3,
1998-Q4,51.9,
1999-Q1,52.6,
1999-Q2,51.3,4.2
1999-Q3,51.3,0.5
1999-Q4,50.8,13.5
2000-Q1,51.3,-0.2
2000-Q2,52.6,13.1
2000-Q3,54.6,5.1
2000-Q4,56.0,5.3
2001-Q1,57.2,3.7
2001-Q2,58.8,14.1
2001-Q3,63.7,19.0
2001-Q4,62.6,-3.5
2002-Q1,62.2,9.0
2002-Q2,62.8,-10.0
2002-Q3,64.1,0.5
2002-Q4,65.2,10.9
2003-Q1,64.7,12.6
2003-Q2,68.4,1.7
2003-Q3,65.7,-4.0
2003-Q4,68.8,13.0
2004-Q1,68.2,16.7
2004-Q2,68.4,22.0
2004-Q3,69.1,12.0
2004-Q4,68.6,16.9
2005-Q1,70.2,-4.3
2005-Q2,69.5,3.9
2005-Q3,70.1,14.4
2005-Q4,72.7,15.6
2006-Q1,72.5,16.7
2006-Q2,73.4,21.7
2006-Q3,73.6,17.3
2006-Q4,73.2,17.1
2007-Q1,74.6,10.0
2007-Q2,74.1,16.3
2007-Q3,73.2,13.3
2007-Q4,72.2,1.0
2008-Q1,72.6,-1.8
2008-Q2,71.6,-21.5
2008-Q3,70.6,-10.4
2008-Q4,69.3,-22.8
2009-Q1,64.9,-51.8
2009-Q2,60.6,-48.2
2009-Q3,60.0,-33.6
2009-Q4,59.9,-18.5
2010-Q1,61.7,3.1
2010-Q2,63.2,8.2
2010-Q3,65.7,0.4
2010-Q4,66.8,12.9
2011-Q1,69.8,22.4
2011-Q2,71.5,30.7
2011-Q3,70.6,20.5
2011-Q4,71.2,-5.3
2012-Q1,72.1,-0.8
2012-Q2,72.7,9.2
2012-Q3,71.3,9.7
2012-Q4,72.2,3.1
2013-Q1,72.0,3.1
2013-Q2,73.4,0.1
2013-Q3,73.5,3.9
2013-Q4,74.0,-15.2
2014-Q1,74.2,4.8
2014-Q2,75.1,5.9
2014-Q3,75.1,-7.1
2014-Q4,75.1,3.5
2015-Q1,74.4,-0.3
2015-Q2,74.4,8.0
2015-Q3,73.6,-9.8
2015-Q4,74.3,3.7
2016-Q1,75.9,5.5
2016-Q2,76.1,-0.3
2016-Q3,75.5,2.5
2016-Q4,76.0,16.1
2017-Q1,76.5,16.1
2017-Q2,77.4,11.6
2017-Q3,77.6,15.7
2017-Q4,77.4,28.2
2018-Q1,77.8,15.2
2018-Q2,77.5,11.4
2018-Q3,77.2,12.8
2018-Q4,77.4,3.9
2019-Q1,77.5,8.2
2019-Q2,76.9,8.8
2019-Q3,77.5,0.7
2019-Q4,77.2,1.6
2020-Q1,76.4,-9.1
2020-Q2,70.0,-18.5
2020-Q3,71.9,-5.0
2020-Q4,73.4,-4.2
2021-Q1,72.4,11.3
2021-Q2,77.0,21.8
2021-Q3,78.0,13.4
2021-Q4,78.4,14.7
2022-Q1,77.5,18.8
