country,SVK
subject,BSCURT
measure,BLSA
unit,
powercode,Units
reference_period,
time,
1994,74.25
1995,73.975
1996,78.0
1997,79.95
1998,82.275
1999,79.475
2000,84.475
2001,84.825
2002,78.4
2003,81.775
2004,82.925
2005,82.475
2006,84.725
2007,86.675
2008,83.475
2009,67.475
2010,75.725
2011,78.775
2012,77.575
2013,77.075
2014,80.65
2015,82.425
2016,84.525
2017,85.25
2018,85.4
2019,87.7
2020,79.325
2021,82.05
