country,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA
subject,BCBUTE,BCCI,BCEMFT,BCOBLV,BCSPFT,BRBUFT,BRBUTE,BRCI,BREMFT,BRODFT,BRVSLV,BSCI,BSEMFT,BSFGLV,BSOBLV,BSPRFT,BSPRTE,BSSPFT,BSXRLV,BVBUTE,BVCI,BVDEFT,BVDETE,BVEMFT,BVEMTE,CSCICP02,CSESFT,CSINFT
measure,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA
unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-04,,,,,,,,,,,,-44.0,-50.2,41.2,-71.7,-19.2,-48.1,47.5,-49.9,,,,,,,,,
1993-05,,,,,,,,,,,,-42.0,-49.0,39.3,-71.8,-15.0,-47.1,47.7,-50.8,,,,,,,,,
1993-06,,,,,,,,,,,,-41.1,-47.6,38.4,-71.2,-13.7,-45.0,47.4,-50.3,,,,,,,,,
1993-07,-45.0,-62.9,-44.1,-81.8,42.4,,,,,,,-42.2,-50.2,43.3,-78.2,-5.2,-40.0,29.4,-56.6,,,,,,,,,
1993-08,-43.6,-62.0,-41.9,-82.2,40.8,,,,,,,-41.5,-49.0,42.5,-77.6,-4.2,-38.4,29.1,-56.2,,,,,,,,,
1993-09,-42.0,-61.1,-40.6,-81.5,40.3,,,,,,,-40.7,-47.9,41.7,-77.1,-3.4,-36.9,28.7,-55.9,,,,,,,,,
1993-10,-31.8,-53.4,-26.5,-80.2,48.2,,,,,,,-28.9,-36.4,26.9,-65.1,5.4,-19.9,48.3,-43.7,,,,,,,,,
1993-11,-30.7,-52.6,-25.6,-79.7,47.9,,,,,,,-28.3,-35.5,26.2,-64.7,6.0,-18.8,47.9,-43.4,,,,,,,,,
1993-12,-29.7,-52.0,-24.8,-79.2,47.6,,,,,,,-27.7,-34.7,25.5,-64.3,6.6,-17.8,47.4,-43.2,,,,,,,,,
1994-01,-12.6,-43.6,-21.8,-65.3,38.9,,,,,,,-20.8,-29.8,23.7,-52.5,13.9,2.5,51.5,-35.7,,,,,,,,,
1994-02,-11.8,-43.1,-21.2,-64.9,38.7,,,,,,,-20.3,-29.0,23.1,-52.2,14.3,3.3,50.9,-35.4,,,,,,,,,
1994-03,-11.2,-42.6,-20.7,-64.5,38.7,,,,,,,-19.9,-28.3,22.5,-51.8,14.7,3.9,50.2,-35.2,,,,,,,,,
1994-04,0.8,-39.0,-8.5,-69.4,31.7,,,,,,,-30.1,-19.2,27.7,-65.4,2.8,0.2,42.6,-44.6,,,,,,,,,
1994-05,1.4,-38.5,-8.1,-69.0,31.8,,,,,,,-28.1,-18.0,26.1,-65.7,7.4,1.0,42.7,-45.5,,,,,,,,,
1994-06,2.1,-38.1,-7.6,-68.6,31.8,,,,,,,-27.2,-16.4,25.2,-65.0,8.6,3.0,42.5,-45.1,,,,,,,,,
1994-07,11.5,-30.5,-5.1,-56.0,39.9,,,,,,,-17.3,-13.3,22.4,-52.5,22.9,3.9,51.5,-38.9,,,,,,,,,
1994-08,12.3,-29.6,-3.0,-56.3,38.8,,,,,,,-16.6,-12.1,21.6,-51.9,23.8,5.5,51.2,-38.6,,,,,,,,,
